Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jun 18th, 2020 20:15,15
Jun 18th, 2020 20:30,13
Jun 18th, 2020 20:45,5
Jun 18th, 2020 21:00,4
Jun 18th, 2020 21:15,4
Jun 18th, 2020 21:30,5
Jun 18th, 2020 21:45,2
Jun 18th, 2020 22:00,1
Jun 18th, 2020 22:15,3
Jun 18th, 2020 22:30,0
Jun 18th, 2020 22:45,0
Jun 18th, 2020 23:00,2
Jun 18th, 2020 23:15,1
Jun 18th, 2020 23:30,1
Jun 18th, 2020 23:45,0
Jun 19th, 2020 00:00,3
Jun 19th, 2020 00:15,0
Jun 19th, 2020 00:30,0
Jun 19th, 2020 00:45,0
Jun 19th, 2020 01:00,2
Jun 19th, 2020 01:15,0
Jun 19th, 2020 01:30,0
Jun 19th, 2020 01:45,0
Jun 19th, 2020 02:00,0
Jun 19th, 2020 02:15,0
Jun 19th, 2020 02:30,0
Jun 19th, 2020 02:45,0
Jun 19th, 2020 03:00,0
Jun 19th, 2020 03:15,0
Jun 19th, 2020 03:30,0
Jun 19th, 2020 03:45,1
Jun 19th, 2020 04:00,0
Jun 19th, 2020 04:15,0
Jun 19th, 2020 04:30,0
Jun 19th, 2020 04:45,0
Jun 19th, 2020 05:00,0
Jun 19th, 2020 05:15,2
Jun 19th, 2020 05:30,2
Jun 19th, 2020 05:45,3
Jun 19th, 2020 06:00,2
Jun 19th, 2020 06:15,3
Jun 19th, 2020 06:30,5
Jun 19th, 2020 06:45,9
Jun 19th, 2020 07:00,6
Jun 19th, 2020 07:15,14
Jun 19th, 2020 07:30,13
Jun 19th, 2020 07:45,6
Jun 19th, 2020 08:00,12
Jun 19th, 2020 08:15,9
Jun 19th, 2020 08:30,4
Jun 19th, 2020 08:45,14
Jun 19th, 2020 09:00,12
Jun 19th, 2020 09:15,17
Jun 19th, 2020 09:30,13
Jun 19th, 2020 09:45,7
Jun 19th, 2020 10:00,14
Jun 19th, 2020 10:15,13
Jun 19th, 2020 10:30,12
Jun 19th, 2020 10:45,16
Jun 19th, 2020 11:00,12
Jun 19th, 2020 11:15,11
Jun 19th, 2020 11:30,7
Jun 19th, 2020 11:45,1
Jun 19th, 2020 12:00,0
Jun 19th, 2020 12:15,5
Jun 19th, 2020 12:30,11
Jun 19th, 2020 12:45,26
Jun 19th, 2020 13:00,5
Jun 19th, 2020 13:15,1
Jun 19th, 2020 13:30,12
Jun 19th, 2020 13:45,6
Jun 19th, 2020 14:00,3
Jun 19th, 2020 14:15,7
Jun 19th, 2020 14:30,2
Jun 19th, 2020 14:45,4
Jun 19th, 2020 15:00,2
Jun 19th, 2020 15:15,10
Jun 19th, 2020 15:30,7
Jun 19th, 2020 15:45,2
Jun 19th, 2020 16:00,3
Jun 19th, 2020 16:15,5
Jun 19th, 2020 16:30,7
Jun 19th, 2020 16:45,5
Jun 19th, 2020 17:00,4
Jun 19th, 2020 17:15,4
Jun 19th, 2020 17:30,0
Jun 19th, 2020 17:45,6
Jun 19th, 2020 18:00,3
Jun 19th, 2020 18:15,1
Jun 19th, 2020 18:30,0
Jun 19th, 2020 18:45,2
Jun 19th, 2020 19:00,9
Jun 19th, 2020 19:15,7
Jun 19th, 2020 19:30,6
Jun 19th, 2020 19:45,12
Jun 19th, 2020 20:00,5
Jun 19th, 2020 20:15,7
Jun 19th, 2020 20:30,14
Jun 19th, 2020 20:45,11
Jun 19th, 2020 21:00,7
Jun 19th, 2020 21:15,7
Jun 19th, 2020 21:30,0
Jun 19th, 2020 21:45,4
Jun 19th, 2020 22:00,1
Jun 19th, 2020 22:15,0
Jun 19th, 2020 22:30,2
Jun 19th, 2020 22:45,0
Jun 19th, 2020 23:00,6
Jun 19th, 2020 23:15,2
Jun 19th, 2020 23:30,1
Jun 19th, 2020 23:45,1
Jun 20th, 2020 00:00,0
Jun 20th, 2020 00:15,0
Jun 20th, 2020 00:30,4
Jun 20th, 2020 00:45,0
Jun 20th, 2020 01:00,3
Jun 20th, 2020 01:15,0
Jun 20th, 2020 01:30,0
Jun 20th, 2020 01:45,1
Jun 20th, 2020 02:00,0
Jun 20th, 2020 02:15,0
Jun 20th, 2020 02:30,0
Jun 20th, 2020 02:45,0
Jun 20th, 2020 03:00,0
Jun 20th, 2020 03:15,0
Jun 20th, 2020 03:30,0
Jun 20th, 2020 03:45,0
Jun 20th, 2020 04:00,0
Jun 20th, 2020 04:15,0
Jun 20th, 2020 04:30,0
Jun 20th, 2020 04:45,0
Jun 20th, 2020 05:00,1
Jun 20th, 2020 05:15,0
Jun 20th, 2020 05:30,0
Jun 20th, 2020 05:45,1
Jun 20th, 2020 06:00,1
Jun 20th, 2020 06:15,1
Jun 20th, 2020 06:30,3
Jun 20th, 2020 06:45,3
Jun 20th, 2020 07:00,6
Jun 20th, 2020 07:15,9
Jun 20th, 2020 07:30,16
Jun 20th, 2020 07:45,5
Jun 20th, 2020 08:00,7
Jun 20th, 2020 08:15,12
Jun 20th, 2020 08:30,8
Jun 20th, 2020 08:45,10
Jun 20th, 2020 09:00,7
Jun 20th, 2020 09:15,18
Jun 20th, 2020 09:30,21
Jun 20th, 2020 09:45,22
Jun 20th, 2020 10:00,21
Jun 20th, 2020 10:15,25
Jun 20th, 2020 10:30,20
Jun 20th, 2020 10:45,25
Jun 20th, 2020 11:00,22
Jun 20th, 2020 11:15,11
Jun 20th, 2020 11:30,14
Jun 20th, 2020 11:45,18
Jun 20th, 2020 12:00,16
Jun 20th, 2020 12:15,25
Jun 20th, 2020 12:30,14
Jun 20th, 2020 12:45,10
Jun 20th, 2020 13:00,9
Jun 20th, 2020 13:15,12
Jun 20th, 2020 13:30,10
Jun 20th, 2020 13:45,7
Jun 20th, 2020 14:00,3
Jun 20th, 2020 14:15,21
Jun 20th, 2020 14:30,11
Jun 20th, 2020 14:45,6
Jun 20th, 2020 15:00,4
Jun 20th, 2020 15:15,4
Jun 20th, 2020 15:30,10
Jun 20th, 2020 15:45,2
Jun 20th, 2020 16:00,3
Jun 20th, 2020 16:15,0
Jun 20th, 2020 16:30,1
Jun 20th, 2020 16:45,4
Jun 20th, 2020 17:00,4
Jun 20th, 2020 17:15,4
Jun 20th, 2020 17:30,3
Jun 20th, 2020 17:45,0
Jun 20th, 2020 18:00,3
Jun 20th, 2020 18:15,16
Jun 20th, 2020 18:30,4
Jun 20th, 2020 18:45,10
Jun 20th, 2020 19:00,5
Jun 20th, 2020 19:15,4
Jun 20th, 2020 19:30,12
Jun 20th, 2020 19:45,5
Jun 20th, 2020 20:00,6
Jun 20th, 2020 20:15,18
Jun 20th, 2020 20:30,17
Jun 20th, 2020 20:45,11
Jun 20th, 2020 21:00,11
Jun 20th, 2020 21:15,10
Jun 20th, 2020 21:30,2
Jun 20th, 2020 21:45,3
Jun 20th, 2020 22:00,3
Jun 20th, 2020 22:15,2
Jun 20th, 2020 22:30,2
Jun 20th, 2020 22:45,0
Jun 20th, 2020 23:00,0
Jun 20th, 2020 23:15,1
Jun 20th, 2020 23:30,1
Jun 20th, 2020 23:45,0
Jun 21st, 2020 00:00,0
Jun 21st, 2020 00:15,0
Jun 21st, 2020 00:30,0
Jun 21st, 2020 00:45,0
Jun 21st, 2020 01:00,0
Jun 21st, 2020 01:15,0
Jun 21st, 2020 01:30,1
Jun 21st, 2020 01:45,1
Jun 21st, 2020 02:00,0
Jun 21st, 2020 02:15,0
Jun 21st, 2020 02:30,1
Jun 21st, 2020 02:45,0
Jun 21st, 2020 03:00,0
Jun 21st, 2020 03:15,0
Jun 21st, 2020 03:30,3
Jun 21st, 2020 03:45,0
Jun 21st, 2020 04:00,0
Jun 21st, 2020 04:15,0
Jun 21st, 2020 04:30,0
Jun 21st, 2020 04:45,0
Jun 21st, 2020 05:00,0
Jun 21st, 2020 05:15,0
Jun 21st, 2020 05:30,0
Jun 21st, 2020 05:45,2
Jun 21st, 2020 06:00,0
Jun 21st, 2020 06:15,1
Jun 21st, 2020 06:30,3
Jun 21st, 2020 06:45,1
Jun 21st, 2020 07:00,3
Jun 21st, 2020 07:15,13
Jun 21st, 2020 07:30,8
Jun 21st, 2020 07:45,4
Jun 21st, 2020 08:00,2
Jun 21st, 2020 08:15,8
Jun 21st, 2020 08:30,18
Jun 21st, 2020 08:45,17
Jun 21st, 2020 09:00,10
Jun 21st, 2020 09:15,22
Jun 21st, 2020 09:30,19
Jun 21st, 2020 09:45,11
Jun 21st, 2020 10:00,22
Jun 21st, 2020 10:15,18
Jun 21st, 2020 10:30,20
Jun 21st, 2020 10:45,33
Jun 21st, 2020 11:00,27
Jun 21st, 2020 11:15,17
Jun 21st, 2020 11:30,25
Jun 21st, 2020 11:45,11
Jun 21st, 2020 12:00,14
Jun 21st, 2020 12:15,11
Jun 21st, 2020 12:30,8
Jun 21st, 2020 12:45,8
Jun 21st, 2020 13:00,5
Jun 21st, 2020 13:15,6
Jun 21st, 2020 13:30,4
Jun 21st, 2020 13:45,8
Jun 21st, 2020 14:00,6
Jun 21st, 2020 14:15,6
Jun 21st, 2020 14:30,5
Jun 21st, 2020 14:45,5
Jun 21st, 2020 15:00,1
Jun 21st, 2020 15:15,3
Jun 21st, 2020 15:30,2
Jun 21st, 2020 15:45,2
Jun 21st, 2020 16:00,2
Jun 21st, 2020 16:15,1
Jun 21st, 2020 16:30,4
Jun 21st, 2020 16:45,1
Jun 21st, 2020 17:00,0
Jun 21st, 2020 17:15,1
Jun 21st, 2020 17:30,2
Jun 21st, 2020 17:45,2
Jun 21st, 2020 18:00,1
Jun 21st, 2020 18:15,1
Jun 21st, 2020 18:30,0
Jun 21st, 2020 18:45,5
Jun 21st, 2020 19:00,6
Jun 21st, 2020 19:15,4
Jun 21st, 2020 19:30,13
Jun 21st, 2020 19:45,4
Jun 21st, 2020 20:00,11
Jun 21st, 2020 20:15,7
Jun 21st, 2020 20:30,4
Jun 21st, 2020 20:45,11
Jun 21st, 2020 21:00,1
Jun 21st, 2020 21:15,3
Jun 21st, 2020 21:30,2
Jun 21st, 2020 21:45,0
Jun 21st, 2020 22:00,0
Jun 21st, 2020 22:15,1
Jun 21st, 2020 22:30,5
Jun 21st, 2020 22:45,0
Jun 21st, 2020 23:00,0
Jun 21st, 2020 23:15,0
Jun 21st, 2020 23:30,1
Jun 21st, 2020 23:45,0
Jun 22nd, 2020 00:00,0
Jun 22nd, 2020 00:15,0
Jun 22nd, 2020 00:30,0
Jun 22nd, 2020 00:45,1
Jun 22nd, 2020 01:00,2
Jun 22nd, 2020 01:15,1
Jun 22nd, 2020 01:30,0
Jun 22nd, 2020 01:45,0
Jun 22nd, 2020 02:00,0
Jun 22nd, 2020 02:15,0
Jun 22nd, 2020 02:30,0
Jun 22nd, 2020 02:45,0
Jun 22nd, 2020 03:00,0
Jun 22nd, 2020 03:15,0
Jun 22nd, 2020 03:30,0
Jun 22nd, 2020 03:45,0
Jun 22nd, 2020 04:00,2
Jun 22nd, 2020 04:15,0
Jun 22nd, 2020 04:30,0
Jun 22nd, 2020 04:45,0
Jun 22nd, 2020 05:00,0
Jun 22nd, 2020 05:15,0
Jun 22nd, 2020 05:30,0
Jun 22nd, 2020 05:45,1
Jun 22nd, 2020 06:00,0
Jun 22nd, 2020 06:15,2
Jun 22nd, 2020 06:30,1
Jun 22nd, 2020 06:45,3
Jun 22nd, 2020 07:00,5
Jun 22nd, 2020 07:15,3
Jun 22nd, 2020 07:30,9
Jun 22nd, 2020 07:45,7
Jun 22nd, 2020 08:00,6
Jun 22nd, 2020 08:15,10
Jun 22nd, 2020 08:30,12
Jun 22nd, 2020 08:45,20
Jun 22nd, 2020 09:00,17
Jun 22nd, 2020 09:15,15
Jun 22nd, 2020 09:30,9
Jun 22nd, 2020 09:45,19
Jun 22nd, 2020 10:00,13
Jun 22nd, 2020 10:15,18
Jun 22nd, 2020 10:30,11
Jun 22nd, 2020 10:45,14
Jun 22nd, 2020 11:00,19
Jun 22nd, 2020 11:15,7
Jun 22nd, 2020 11:30,11
Jun 22nd, 2020 11:45,12
Jun 22nd, 2020 12:00,11
Jun 22nd, 2020 12:15,16
Jun 22nd, 2020 12:30,0
Jun 22nd, 2020 12:45,0
Jun 22nd, 2020 13:00,2
Jun 22nd, 2020 13:15,0
Jun 22nd, 2020 13:30,14
Jun 22nd, 2020 13:45,0
Jun 22nd, 2020 14:00,0
Jun 22nd, 2020 14:15,0
Jun 22nd, 2020 14:30,10
Jun 22nd, 2020 14:45,0
Jun 22nd, 2020 15:00,0
Jun 22nd, 2020 15:15,2
Jun 22nd, 2020 15:30,2
Jun 22nd, 2020 15:45,3
Jun 22nd, 2020 16:00,1
Jun 22nd, 2020 16:15,0
Jun 22nd, 2020 16:30,4
Jun 22nd, 2020 16:45,1
Jun 22nd, 2020 17:00,0
Jun 22nd, 2020 17:15,3
Jun 22nd, 2020 17:30,5
Jun 22nd, 2020 17:45,2
Jun 22nd, 2020 18:00,5
Jun 22nd, 2020 18:15,1
Jun 22nd, 2020 18:30,2
Jun 22nd, 2020 18:45,1
Jun 22nd, 2020 19:00,2
Jun 22nd, 2020 19:15,0
Jun 22nd, 2020 19:30,0
Jun 22nd, 2020 19:45,0
Jun 22nd, 2020 20:00,2
Jun 22nd, 2020 20:15,5
Jun 22nd, 2020 20:30,5
Jun 22nd, 2020 20:45,9
Jun 22nd, 2020 21:00,4
Jun 22nd, 2020 21:15,3
Jun 22nd, 2020 21:30,7
Jun 22nd, 2020 21:45,0
Jun 22nd, 2020 22:00,5
Jun 22nd, 2020 22:15,1
Jun 22nd, 2020 22:30,3
Jun 22nd, 2020 22:45,0
Jun 22nd, 2020 23:00,0
Jun 22nd, 2020 23:15,2
Jun 22nd, 2020 23:30,2
Jun 22nd, 2020 23:45,2
Jun 23rd, 2020 00:00,1
Jun 23rd, 2020 00:15,0
Jun 23rd, 2020 00:30,1
Jun 23rd, 2020 00:45,0
Jun 23rd, 2020 01:00,0
Jun 23rd, 2020 01:15,0
Jun 23rd, 2020 01:30,0
Jun 23rd, 2020 01:45,0
Jun 23rd, 2020 02:00,0
Jun 23rd, 2020 02:15,0
Jun 23rd, 2020 02:30,0
Jun 23rd, 2020 02:45,0
Jun 23rd, 2020 03:00,0
Jun 23rd, 2020 03:15,0
Jun 23rd, 2020 03:30,0
Jun 23rd, 2020 03:45,2
Jun 23rd, 2020 04:00,1
Jun 23rd, 2020 04:15,0
Jun 23rd, 2020 04:30,0
Jun 23rd, 2020 04:45,1
Jun 23rd, 2020 05:00,0
Jun 23rd, 2020 05:15,2
Jun 23rd, 2020 05:30,0
Jun 23rd, 2020 05:45,0
Jun 23rd, 2020 06:00,4
Jun 23rd, 2020 06:15,6
Jun 23rd, 2020 06:30,4
Jun 23rd, 2020 06:45,5
Jun 23rd, 2020 07:00,6
Jun 23rd, 2020 07:15,10
Jun 23rd, 2020 07:30,17
Jun 23rd, 2020 07:45,15
Jun 23rd, 2020 08:00,11
Jun 23rd, 2020 08:15,18
Jun 23rd, 2020 08:30,21
Jun 23rd, 2020 08:45,30
Jun 23rd, 2020 09:00,17
Jun 23rd, 2020 09:15,25
Jun 23rd, 2020 09:30,14
Jun 23rd, 2020 09:45,16
Jun 23rd, 2020 10:00,18
Jun 23rd, 2020 10:15,18
Jun 23rd, 2020 10:30,15
Jun 23rd, 2020 10:45,9
Jun 23rd, 2020 11:00,9
Jun 23rd, 2020 11:15,18
Jun 23rd, 2020 11:30,19
Jun 23rd, 2020 11:45,6
Jun 23rd, 2020 12:00,11
Jun 23rd, 2020 12:15,17
Jun 23rd, 2020 12:30,13
Jun 23rd, 2020 12:45,8
Jun 23rd, 2020 13:00,6
Jun 23rd, 2020 13:15,3
Jun 23rd, 2020 13:30,3
Jun 23rd, 2020 13:45,3
Jun 23rd, 2020 14:00,3
Jun 23rd, 2020 14:15,3
Jun 23rd, 2020 14:30,3
Jun 23rd, 2020 14:45,4
Jun 23rd, 2020 15:00,2
Jun 23rd, 2020 15:15,5
Jun 23rd, 2020 15:30,2
Jun 23rd, 2020 15:45,6
Jun 23rd, 2020 16:00,1
Jun 23rd, 2020 16:15,6
Jun 23rd, 2020 16:30,5
Jun 23rd, 2020 16:45,4
Jun 23rd, 2020 17:00,7
Jun 23rd, 2020 17:15,1
Jun 23rd, 2020 17:30,0
Jun 23rd, 2020 17:45,1
Jun 23rd, 2020 18:00,1
Jun 23rd, 2020 18:15,2
Jun 23rd, 2020 18:30,1
Jun 23rd, 2020 18:45,0
Jun 23rd, 2020 19:00,3
Jun 23rd, 2020 19:15,6
Jun 23rd, 2020 19:30,2
Jun 23rd, 2020 19:45,4
Jun 23rd, 2020 20:00,12
Jun 23rd, 2020 20:15,12
Jun 23rd, 2020 20:30,10
Jun 23rd, 2020 20:45,14
Jun 23rd, 2020 21:00,7
Jun 23rd, 2020 21:15,2
Jun 23rd, 2020 21:30,7
Jun 23rd, 2020 21:45,2
Jun 23rd, 2020 22:00,1
Jun 23rd, 2020 22:15,3
Jun 23rd, 2020 22:30,1
Jun 23rd, 2020 22:45,1
Jun 23rd, 2020 23:00,1
Jun 23rd, 2020 23:15,0
Jun 23rd, 2020 23:30,1
Jun 23rd, 2020 23:45,0
Jun 24th, 2020 00:00,0
Jun 24th, 2020 00:15,0
Jun 24th, 2020 00:30,2
Jun 24th, 2020 00:45,0
Jun 24th, 2020 01:00,0
Jun 24th, 2020 01:15,1
Jun 24th, 2020 01:30,0
Jun 24th, 2020 01:45,0
Jun 24th, 2020 02:00,1
Jun 24th, 2020 02:15,1
Jun 24th, 2020 02:30,0
Jun 24th, 2020 02:45,0
Jun 24th, 2020 03:00,0
Jun 24th, 2020 03:15,0
Jun 24th, 2020 03:30,0
Jun 24th, 2020 03:45,0
Jun 24th, 2020 04:00,0
Jun 24th, 2020 04:15,0
Jun 24th, 2020 04:30,0
Jun 24th, 2020 04:45,0
Jun 24th, 2020 05:00,1
Jun 24th, 2020 05:15,1
Jun 24th, 2020 05:30,1
Jun 24th, 2020 05:45,0
Jun 24th, 2020 06:00,0
Jun 24th, 2020 06:15,9
Jun 24th, 2020 06:30,7
Jun 24th, 2020 06:45,8
Jun 24th, 2020 07:00,4
Jun 24th, 2020 07:15,10
Jun 24th, 2020 07:30,12
Jun 24th, 2020 07:45,12
Jun 24th, 2020 08:00,8
Jun 24th, 2020 08:15,8
Jun 24th, 2020 08:30,16
Jun 24th, 2020 08:45,20
Jun 24th, 2020 09:00,10
Jun 24th, 2020 09:15,16
Jun 24th, 2020 09:30,13
Jun 24th, 2020 09:45,11
Jun 24th, 2020 10:00,11
Jun 24th, 2020 10:15,6
Jun 24th, 2020 10:30,21
Jun 24th, 2020 10:45,9
Jun 24th, 2020 11:00,14
Jun 24th, 2020 11:15,12
Jun 24th, 2020 11:30,7
Jun 24th, 2020 11:45,4
Jun 24th, 2020 12:00,14
Jun 24th, 2020 12:15,18
Jun 24th, 2020 12:30,16
Jun 24th, 2020 12:45,10
Jun 24th, 2020 13:00,8
Jun 24th, 2020 13:15,8
Jun 24th, 2020 13:30,11
Jun 24th, 2020 13:45,7
Jun 24th, 2020 14:00,0
Jun 24th, 2020 14:15,1
Jun 24th, 2020 14:30,4
Jun 24th, 2020 14:45,3
Jun 24th, 2020 15:00,3
Jun 24th, 2020 15:15,5
Jun 24th, 2020 15:30,5
Jun 24th, 2020 15:45,3
Jun 24th, 2020 16:00,5
Jun 24th, 2020 16:15,0
Jun 24th, 2020 16:30,3
Jun 24th, 2020 16:45,4
Jun 24th, 2020 17:00,4
Jun 24th, 2020 17:15,4
Jun 24th, 2020 17:30,2
Jun 24th, 2020 17:45,3
Jun 24th, 2020 18:00,2
Jun 24th, 2020 18:15,0
Jun 24th, 2020 18:30,0
Jun 24th, 2020 18:45,8
Jun 24th, 2020 19:00,23
Jun 24th, 2020 19:15,9
Jun 24th, 2020 19:30,0
Jun 24th, 2020 19:45,0
Jun 24th, 2020 20:00,0
Jun 24th, 2020 20:15,0
Jun 24th, 2020 20:30,0
Jun 24th, 2020 20:45,0
Jun 24th, 2020 21:00,3
Jun 24th, 2020 21:15,5
Jun 24th, 2020 21:30,3
Jun 24th, 2020 21:45,7
Jun 24th, 2020 22:00,4
Jun 24th, 2020 22:15,1
Jun 24th, 2020 22:30,1
Jun 24th, 2020 22:45,0
Jun 24th, 2020 23:00,0
Jun 24th, 2020 23:15,2
Jun 24th, 2020 23:30,1
Jun 24th, 2020 23:45,1
Jun 25th, 2020 00:00,0
Jun 25th, 2020 00:15,1
Jun 25th, 2020 00:30,0
Jun 25th, 2020 00:45,2
Jun 25th, 2020 01:00,0
Jun 25th, 2020 01:15,1
Jun 25th, 2020 01:30,0
Jun 25th, 2020 01:45,0
Jun 25th, 2020 02:00,0
Jun 25th, 2020 02:15,0
Jun 25th, 2020 02:30,0
Jun 25th, 2020 02:45,0
Jun 25th, 2020 03:00,0
Jun 25th, 2020 03:15,1
Jun 25th, 2020 03:30,0
Jun 25th, 2020 03:45,0
Jun 25th, 2020 04:00,1
Jun 25th, 2020 04:15,0
Jun 25th, 2020 04:30,0
Jun 25th, 2020 04:45,1
Jun 25th, 2020 05:00,0
Jun 25th, 2020 05:15,1
Jun 25th, 2020 05:30,0
Jun 25th, 2020 05:45,2
Jun 25th, 2020 06:00,1
Jun 25th, 2020 06:15,4
Jun 25th, 2020 06:30,4
Jun 25th, 2020 06:45,11
Jun 25th, 2020 07:00,8
Jun 25th, 2020 07:15,9
Jun 25th, 2020 07:30,10
Jun 25th, 2020 07:45,17
Jun 25th, 2020 08:00,14
Jun 25th, 2020 08:15,13
Jun 25th, 2020 08:30,14
Jun 25th, 2020 08:45,21
Jun 25th, 2020 09:00,14
Jun 25th, 2020 09:15,20
Jun 25th, 2020 09:30,10
Jun 25th, 2020 09:45,8
Jun 25th, 2020 10:00,15
Jun 25th, 2020 10:15,16
Jun 25th, 2020 10:30,20
Jun 25th, 2020 10:45,12
Jun 25th, 2020 11:00,11
Jun 25th, 2020 11:15,9
Jun 25th, 2020 11:30,45
Jun 25th, 2020 11:45,12
Jun 25th, 2020 12:00,13
Jun 25th, 2020 12:15,2
Jun 25th, 2020 12:30,0
Jun 25th, 2020 12:45,0
Jun 25th, 2020 13:00,7
Jun 25th, 2020 13:15,5
Jun 25th, 2020 13:30,4
Jun 25th, 2020 13:45,1
Jun 25th, 2020 14:00,4
Jun 25th, 2020 14:15,4
Jun 25th, 2020 14:30,7
Jun 25th, 2020 14:45,2
Jun 25th, 2020 15:00,3
Jun 25th, 2020 15:15,4
Jun 25th, 2020 15:30,2
Jun 25th, 2020 15:45,1
Jun 25th, 2020 16:00,1
Jun 25th, 2020 16:15,1
Jun 25th, 2020 16:30,4
Jun 25th, 2020 16:45,2
Jun 25th, 2020 17:00,0
Jun 25th, 2020 17:15,4
Jun 25th, 2020 17:30,3
Jun 25th, 2020 17:45,2
Jun 25th, 2020 18:00,1
Jun 25th, 2020 18:15,2
Jun 25th, 2020 18:30,3
Jun 25th, 2020 18:45,0
Jun 25th, 2020 19:00,2
Jun 25th, 2020 19:15,7
Jun 25th, 2020 19:30,7
Jun 25th, 2020 19:45,5
Jun 25th, 2020 20:00,6
Jun 25th, 2020 20:15,14
Jun 25th, 2020 20:30,5
Jun 25th, 2020 20:45,7
Jun 25th, 2020 21:00,2
Jun 25th, 2020 21:15,12
Jun 25th, 2020 21:30,6
Jun 25th, 2020 21:45,2
Jun 25th, 2020 22:00,2
Jun 25th, 2020 22:15,1
Jun 25th, 2020 22:30,2
Jun 25th, 2020 22:45,4
Jun 25th, 2020 23:00,0
Jun 25th, 2020 23:15,2
Jun 25th, 2020 23:30,5
Jun 25th, 2020 23:45,2
Jun 26th, 2020 00:00,1
Jun 26th, 2020 00:15,0
Jun 26th, 2020 00:30,0
Jun 26th, 2020 00:45,1
Jun 26th, 2020 01:00,2
Jun 26th, 2020 01:15,0
Jun 26th, 2020 01:30,1
Jun 26th, 2020 01:45,0
Jun 26th, 2020 02:00,0
Jun 26th, 2020 02:15,1
Jun 26th, 2020 02:30,1
Jun 26th, 2020 02:45,0
Jun 26th, 2020 03:00,0
Jun 26th, 2020 03:15,0
Jun 26th, 2020 03:30,0
Jun 26th, 2020 03:45,0
Jun 26th, 2020 04:00,1
Jun 26th, 2020 04:15,0
Jun 26th, 2020 04:30,0
Jun 26th, 2020 04:45,1
Jun 26th, 2020 05:00,1
Jun 26th, 2020 05:15,2
Jun 26th, 2020 05:30,0
Jun 26th, 2020 05:45,2
Jun 26th, 2020 06:00,0
Jun 26th, 2020 06:15,3
Jun 26th, 2020 06:30,5
Jun 26th, 2020 06:45,4
Jun 26th, 2020 07:00,7
Jun 26th, 2020 07:15,7
Jun 26th, 2020 07:30,14
Jun 26th, 2020 07:45,9
Jun 26th, 2020 08:00,13
Jun 26th, 2020 08:15,7
Jun 26th, 2020 08:30,8
Jun 26th, 2020 08:45,21
Jun 26th, 2020 09:00,17
Jun 26th, 2020 09:15,15
Jun 26th, 2020 09:30,11
Jun 26th, 2020 09:45,11
Jun 26th, 2020 10:00,9
Jun 26th, 2020 10:15,2
Jun 26th, 2020 10:30,21
Jun 26th, 2020 10:45,8
Jun 26th, 2020 11:00,12
Jun 26th, 2020 11:15,12
Jun 26th, 2020 11:30,8
Jun 26th, 2020 11:45,7
Jun 26th, 2020 12:00,6
Jun 26th, 2020 12:15,9
Jun 26th, 2020 12:30,10
Jun 26th, 2020 12:45,4
Jun 26th, 2020 13:00,4
Jun 26th, 2020 13:15,6
Jun 26th, 2020 13:30,1
Jun 26th, 2020 13:45,7
Jun 26th, 2020 14:00,3
Jun 26th, 2020 14:15,0
Jun 26th, 2020 14:30,8
Jun 26th, 2020 14:45,1
Jun 26th, 2020 15:00,3
Jun 26th, 2020 15:15,3
Jun 26th, 2020 15:30,13
Jun 26th, 2020 15:45,5
Jun 26th, 2020 16:00,2
Jun 26th, 2020 16:15,0
Jun 26th, 2020 16:30,1
Jun 26th, 2020 16:45,1
Jun 26th, 2020 17:00,1
Jun 26th, 2020 17:15,6
Jun 26th, 2020 17:30,3
Jun 26th, 2020 17:45,2
Jun 26th, 2020 18:00,1
Jun 26th, 2020 18:15,1
Jun 26th, 2020 18:30,3
Jun 26th, 2020 18:45,1
Jun 26th, 2020 19:00,2
Jun 26th, 2020 19:15,2
Jun 26th, 2020 19:30,1
Jun 26th, 2020 19:45,5
Jun 26th, 2020 20:00,6
Jun 26th, 2020 20:15,4
Jun 26th, 2020 20:30,8
Jun 26th, 2020 20:45,12
Jun 26th, 2020 21:00,3
Jun 26th, 2020 21:15,8
Jun 26th, 2020 21:30,11
Jun 26th, 2020 21:45,6
Jun 26th, 2020 22:00,8
Jun 26th, 2020 22:15,1
Jun 26th, 2020 22:30,2
Jun 26th, 2020 22:45,2
Jun 26th, 2020 23:00,4
Jun 26th, 2020 23:15,1
Jun 26th, 2020 23:30,0
Jun 26th, 2020 23:45,3
Jun 27th, 2020 00:00,3
Jun 27th, 2020 00:15,3
Jun 27th, 2020 00:30,1
Jun 27th, 2020 00:45,2
Jun 27th, 2020 01:00,0
Jun 27th, 2020 01:15,0
Jun 27th, 2020 01:30,0
Jun 27th, 2020 01:45,0
Jun 27th, 2020 02:00,0
Jun 27th, 2020 02:15,0
Jun 27th, 2020 02:30,0
Jun 27th, 2020 02:45,0
Jun 27th, 2020 03:00,0
Jun 27th, 2020 03:15,0
Jun 27th, 2020 03:30,0
Jun 27th, 2020 03:45,0
Jun 27th, 2020 04:00,0
Jun 27th, 2020 04:15,0
Jun 27th, 2020 04:30,0
Jun 27th, 2020 04:45,0
Jun 27th, 2020 05:00,0
Jun 27th, 2020 05:15,0
Jun 27th, 2020 05:30,0
Jun 27th, 2020 05:45,1
Jun 27th, 2020 06:00,3
