Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 6th, 2020 12:30,4
Jan 6th, 2020 12:45,9
Jan 6th, 2020 13:00,5
Jan 6th, 2020 13:15,7
Jan 6th, 2020 13:30,8
Jan 6th, 2020 13:45,6
Jan 6th, 2020 14:00,7
Jan 6th, 2020 14:15,14
Jan 6th, 2020 14:30,19
Jan 6th, 2020 14:45,22
Jan 6th, 2020 15:00,28
Jan 6th, 2020 15:15,32
Jan 6th, 2020 15:30,83
Jan 6th, 2020 15:45,35
Jan 6th, 2020 16:00,17
Jan 6th, 2020 16:15,14
Jan 6th, 2020 16:30,20
Jan 6th, 2020 16:45,19
Jan 6th, 2020 17:00,20
Jan 6th, 2020 17:15,19
Jan 6th, 2020 17:30,12
Jan 6th, 2020 17:45,15
Jan 6th, 2020 18:00,9
Jan 6th, 2020 18:15,13
Jan 6th, 2020 18:30,8
Jan 6th, 2020 18:45,10
Jan 6th, 2020 19:00,6
Jan 6th, 2020 19:15,2
Jan 6th, 2020 19:30,6
Jan 6th, 2020 19:45,3
Jan 6th, 2020 20:00,3
Jan 6th, 2020 20:15,4
Jan 6th, 2020 20:30,4
Jan 6th, 2020 20:45,5
Jan 6th, 2020 21:00,0
Jan 6th, 2020 21:15,0
Jan 6th, 2020 21:30,6
Jan 6th, 2020 21:45,2
Jan 6th, 2020 22:00,2
Jan 6th, 2020 22:15,0
Jan 6th, 2020 22:30,0
Jan 6th, 2020 22:45,1
Jan 6th, 2020 23:00,0
Jan 6th, 2020 23:15,0
Jan 6th, 2020 23:30,0
Jan 6th, 2020 23:45,1
Jan 7th, 2020 00:00,0
Jan 7th, 2020 00:15,0
Jan 7th, 2020 00:30,0
Jan 7th, 2020 00:45,0
Jan 7th, 2020 01:00,0
Jan 7th, 2020 01:15,0
Jan 7th, 2020 01:30,0
Jan 7th, 2020 01:45,0
Jan 7th, 2020 02:00,0
